seq_office,office,seq_services,office_name,type,services
1,oc,1,Office of the Chancellor,"External (For Students, UP Cebu Alumni, General Public)",Approval of Request
1,oc,2,Office of the Chancellor,Internal (For UP Cebu Faculty and Staff),Approval of Request
2,budget,1,Budget Office,Internal (For UP Cebu Faculty and Staff),Budget clearance for funding requests
2,budget,2,Budget Office,Internal (For UP Cebu Faculty and Staff),Budget clearance for Basic Paper (BP)
2,budget,3,Budget Office,Internal (For UP Cebu Faculty and Staff),Budget clearance for JO or COS Request
2,budget,4,Budget Office,Internal (For UP Cebu Faculty and Staff),Budget clearance for Purchase Request (PR)
2,budget,5,Budget Office,Internal (For UP Cebu Faculty and Staff),Obligation Request (ObR) and Budget Utilization Request (BUR)
2,budget,6,Budget Office,Internal (For UP Cebu Faculty and Staff),Generation of Reports
3,legal,1,Legal Office,Internal (For UP Cebu Faculty and Staff),"Service of pleadings and other required legal documents to judicial, quasi-judicial and administrative agencies within the reglementary period/s set under the applicable rules"
3,legal,2,Legal Office,Internal (For UP Cebu Faculty and Staff),Issuance of pro-forma affidavits and legal documents
3,legal,3,Legal Office,Internal (For UP Cebu Faculty and Staff),Legal Consultation
3,legal,4,Legal Office,Internal (For UP Cebu Faculty and Staff),Render Legal Opinion
3,legal,5,Legal Office,Internal (For UP Cebu Faculty and Staff),Contract Review
3,legal,6,Legal Office,Internal (For UP Cebu Faculty and Staff),"Draft pleadings, contracts, policy, reports, pleadings, and other legal documents"
3,legal,7,Legal Office,Internal (For UP Cebu Faculty and Staff),"Represent UP Cebu in judicial, quasi-judicial and administrative bodies/government agencies"
3,legal,8,Legal Office,Internal (For UP Cebu Faculty and Staff),Fact-finding / conduct of investigations / grievance handling
4,oash,1,Office of Anti-Sexual Harassment,"External (For Students, UP Cebu Alumni, General Public)","Orientation/Talk/Workshop on Anti-Sexual Harassment (ASH), Safe Spaces and related topic(s)"
4,oash,2,Office of Anti-Sexual Harassment,"External (For Students, UP Cebu Alumni, General Public)",Referral service
4,oash,3,Office of Anti-Sexual Harassment,Internal (For UP Cebu Faculty and Staff),First Responders’ Drill on Anti-Sexual Harassment (#ASH1st)
4,oash,4,Office of Anti-Sexual Harassment,Internal (For UP Cebu Faculty and Staff),Treatment and resolution of of report(s)/complaint(s) on sexual harassment/ violation of safe spaces
4,oash,5,Office of Anti-Sexual Harassment,Internal (For UP Cebu Faculty and Staff),Internship safety briefing
4,oash,6,Office of Anti-Sexual Harassment,Internal (For UP Cebu Faculty and Staff),Issuance of clearance or related certification
5,pio,1,Public Information Office,"External (For Students, UP Cebu Alumni, General Public)",Create content for UP Cebu website and social media platforms
5,pio,2,Public Information Office,"External (For Students, UP Cebu Alumni, General Public)",Answering queries regarding the University and services offered by the University
5,pio,3,Public Information Office,"External (For Students, UP Cebu Alumni, General Public)",Approval/ Disapproval of posters posted on UP Cebu grounds and UP Cebu Official Social Media Sites
5,pio,4,Public Information Office,"External (For Students, UP Cebu Alumni, General Public)",Provide documentation for different events
5,pio,5,Public Information Office,"External (For Students, UP Cebu Alumni, General Public)",Organization of events
5,pio,6,Public Information Office,"External (For Students, UP Cebu Alumni, General Public)",Layout designs or graphics
5,pio,7,Public Information Office,Internal (For UP Cebu Faculty and Staff),Provides UP System with updates/media/reports about UP Cebu
6,ttbdo,1,Technology Transfer and Business Development Office,"External (For Students, UP Cebu Alumni, General Public)",Assessment of invention of product
6,ttbdo,2,Technology Transfer and Business Development Office,"External (For Students, UP Cebu Alumni, General Public)",Basic patentability search for product or invention
6,ttbdo,3,Technology Transfer and Business Development Office,"External (For Students, UP Cebu Alumni, General Public)",Advanced patentability search for product or invention
6,ttbdo,4,Technology Transfer and Business Development Office,"External (For Students, UP Cebu Alumni, General Public)",Claims Drafting
6,ttbdo,5,Technology Transfer and Business Development Office,"External (For Students, UP Cebu Alumni, General Public)",Filing for IP Protection
6,ttbdo,6,Technology Transfer and Business Development Office,"External (For Students, UP Cebu Alumni, General Public)",Application to be part of Incubation Program
6,ttbdo,7,Technology Transfer and Business Development Office,"External (For Students, UP Cebu Alumni, General Public)",Memorandum of Agreement
6,ttbdo,8,Technology Transfer and Business Development Office,Internal (For UP Cebu Faculty and Staff),Assessment of invention of product
6,ttbdo,9,Technology Transfer and Business Development Office,Internal (For UP Cebu Faculty and Staff),Patentability search for product or invention
6,ttbdo,10,Technology Transfer and Business Development Office,Internal (For UP Cebu Faculty and Staff),Claims Drafting
6,ttbdo,11,Technology Transfer and Business Development Office,Internal (For UP Cebu Faculty and Staff),Filing for IP Protection
7,pahinungod,1,Ugnayan Ng Pahinungod,"External (For Students, UP Cebu Alumni, General Public)",Disaster Risk Reduction Management (DRRM) Buhay Pahinungόd Program
7,pahinungod,2,Ugnayan Ng Pahinungod,"External (For Students, UP Cebu Alumni, General Public)",Teachers Professional Development Training Program
7,pahinungod,3,Ugnayan Ng Pahinungod,"External (For Students, UP Cebu Alumni, General Public)",Tutorial Service Program
7,pahinungod,4,Ugnayan Ng Pahinungod,"External (For Students, UP Cebu Alumni, General Public)",Processing of Tutorial Service Program Volunteer Application
